name,ethnicity,interests,mbti,communication_type,political_interests,religion,major,year,language,likes_pets,likes_outdoor_activities,enjoys_watching_movies
Jessica Smith,1,0,0,0,1,0,0,0,0,0,1,0
Teresa Aguilar,0,0,0,0,0,0,0,0,0,0,0,1
John Hanna,0,0,0,1,0,0,0,0,0,1,1,1
Justin Newman,0,0,0,0,0,0,0,0,0,1,0,0
Donald Drake,0,0,0,0,0,0,0,1,0,1,0,1
Roy Williams,0,0,0,1,1,0,0,1,0,1,1,1
Richard Briggs,0,0,0,1,0,0,0,0,0,0,0,0
Caleb Lopez,0,1,0,0,1,0,0,0,0,1,1,1
Karina Roth,0,0,0,0,0,0,1,1,0,0,0,0
Margaret Reed,0,0,0,1,1,0,0,0,0,1,0,0
Anita Cantu,1,0,0,0,0,0,0,1,1,1,0,0
Emily Landry,0,0,0,1,0,0,0,1,0,1,0,0
David Jones,0,0,0,0,0,0,0,0,0,1,1,0
Heather Trevino,0,0,0,1,0,0,0,0,0,1,0,1
Tammy Kirby,0,0,0,0,0,0,0,0,0,1,0,0
Margaret Chang,0,1,0,0,1,0,0,0,1,1,1,1
Daniel Moran,1,0,0,0,1,0,0,0,1,0,1,0
Tara Ellis,0,0,0,1,0,0,0,0,0,1,0,0
Taylor Chapman,0,0,0,1,0,0,0,0,0,0,0,0
Wanda Black,0,0,0,1,0,0,0,0,0,0,1,1
Elizabeth Wolfe,0,0,0,0,0,0,0,0,0,0,1,1
Stacey Munoz,0,0,0,0,0,1,0,0,0,0,1,1
Marilyn Williams,1,0,0,0,1,0,0,1,0,1,0,0
Mrs. Lindsay Grimes,0,0,0,1,0,0,0,0,0,1,0,1
Linda Medina,0,0,0,0,1,0,0,0,0,1,1,0
Jack House,0,0,0,1,0,0,0,1,0,0,0,0
Sherri Coffey,0,0,0,0,1,1,1,0,0,1,1,0
Jacqueline Garcia,0,0,0,0,1,0,0,0,0,0,0,0
Richard Freeman,0,0,0,1,0,0,0,0,0,0,0,1
Michelle Kelly,0,0,0,1,0,1,0,0,1,1,0,0
Jessica Morgan,0,0,0,0,1,0,1,0,0,0,0,1
Carol Compton,1,0,0,0,1,0,0,0,1,0,1,1
Brooke Hall,0,0,0,0,0,0,0,0,0,0,1,1
Jessica Wallace,1,0,0,0,1,1,0,0,0,1,1,1
Andrea Sanchez,0,0,0,1,1,0,0,0,0,0,0,1
Tina Schwartz,0,0,0,0,1,0,0,0,0,1,1,0
Shane Jackson,0,0,0,1,0,0,0,0,0,1,0,1
Alicia Cox,0,0,0,1,0,0,0,0,0,1,0,1
Scott Lynch,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Dean,0,0,0,0,1,0,0,0,0,1,0,1
Jessica Graham,0,0,0,0,1,0,0,0,0,1,0,1
Dustin Davis,0,0,0,0,0,0,0,1,0,1,1,0
Sandra Gross,0,0,0,1,0,0,0,0,0,1,0,0
Erin Matthews,1,0,0,1,0,0,0,0,0,0,0,1
Nicholas Austin,0,0,0,1,0,0,0,0,0,1,0,0
Seth Jones,0,0,0,1,1,0,0,0,0,1,1,0
Nicole Wilkins,0,0,0,0,1,0,1,0,1,1,0,0
Anita Townsend,0,0,0,1,0,0,0,0,0,0,1,0
Janice Lam,0,0,0,0,1,0,1,1,1,0,0,1
