name,ethnicity,interests,mbti,communication_type,political_interests,religion,major,year,language,likes_pets,likes_outdoor_activities,enjoys_watching_movies
Andre Mccormick,0,0,0,0,0,0,0,0,0,1,1,0
Clayton Wilson,1,0,0,1,1,0,0,0,0,1,1,1
Justin Newman,0,0,0,1,1,0,0,0,0,1,0,0
Joseph Smith,0,0,0,0,0,1,0,0,0,1,1,0
Abigail Thomas,0,0,0,1,0,0,0,0,0,0,0,0
James Brown,0,0,0,0,0,0,0,0,0,1,0,1
Carly Grant,0,1,0,0,1,0,0,0,1,1,0,1
Christopher Blevins,0,0,0,0,0,0,0,1,0,1,0,0
Karen Patton,0,0,0,0,1,0,0,0,0,1,0,1
Bryan Moreno,0,0,0,0,0,0,0,0,0,1,0,1
Benjamin Foster,0,0,0,0,0,0,0,1,0,0,0,1
Emily Landry,0,0,0,0,0,0,0,0,0,0,0,0
Elizabeth Hess,0,0,0,1,1,0,0,0,0,1,1,0
Margaret Chang,0,0,0,0,0,0,0,0,0,1,1,1
Daniel Reynolds,0,0,0,1,0,0,0,0,0,0,1,1
Sarah Roberson,1,0,0,1,0,0,0,0,0,0,1,0
Kyle Harris,0,0,0,1,1,0,1,0,1,0,1,1
Taylor Chapman,0,0,0,1,0,0,0,0,0,1,1,0
Kimberly Holloway,0,0,0,0,0,1,0,0,0,1,1,1
Wanda Black,0,0,1,0,1,1,0,1,0,1,0,1
Brianna Rush,0,0,0,1,0,0,0,0,0,1,1,1
Christopher Hunter,0,0,1,0,1,0,0,0,0,1,1,1
Linda Griffin,0,0,0,0,1,0,0,1,0,0,0,1
Timothy Hines,0,0,0,0,1,0,0,1,0,0,1,1
Darren Pratt,0,0,0,1,0,0,0,1,0,1,0,1
William Oliver,0,0,0,1,1,0,0,1,0,1,1,1
Nicole Matthews,0,0,0,0,1,0,0,0,0,0,1,0
Tanya Flores,0,0,0,0,1,1,0,0,0,1,0,1
Angelica Gonzalez DDS,0,0,1,1,0,0,0,0,0,1,1,1
Michele Howe,0,0,0,0,0,0,0,0,0,0,0,1
Gabrielle Adams,1,0,0,1,0,0,0,1,0,1,0,1
Tina Schwartz,0,0,0,0,0,0,0,0,0,1,0,1
Renee Fleming,0,0,0,0,0,0,0,0,0,1,1,1
Kristina Thomas,0,0,0,0,0,0,0,0,0,0,1,1
Daniel Ramsey,0,0,0,0,1,0,0,0,0,1,0,0
Meghan Stone,0,0,0,1,1,0,0,1,0,0,1,1
Becky Montes,0,0,0,0,0,0,0,0,0,0,1,1
Olivia Foster,0,0,0,1,1,0,0,0,0,1,0,0
Matthew Blevins,0,0,0,1,1,0,0,0,0,1,1,0
Lori Obrien,1,0,0,1,0,0,0,0,0,1,1,0
Kenneth Adams,0,0,0,1,0,1,0,0,0,1,1,0
Charlotte Wong,1,0,1,0,0,0,1,1,1,0,0,1
