name,ethnicity,interests,mbti,communication_type,political_interests,religion,major,year,language,likes_pets,likes_outdoor_activities,enjoys_watching_movies
Jessica Smith,0,0,0,1,0,0,0,0,0,1,1,0
Andre Mccormick,1,0,0,1,0,0,0,0,0,0,0,0
Marcus Gilbert,0,0,0,0,0,0,0,0,0,1,1,1
Ann Riley,1,0,0,0,0,0,0,0,0,1,0,1
Mr. David Mahoney,0,0,0,1,1,0,0,0,0,0,0,0
James Brown,0,0,0,0,1,0,0,0,0,1,1,1
Timothy Wise,0,0,0,1,0,1,0,0,1,0,1,0
Brenda Torres,0,0,0,0,0,1,0,1,0,0,1,1
Christopher Blevins,0,0,0,0,0,0,0,0,0,0,0,0
Robert Keith,0,0,0,1,0,0,0,0,1,0,1,1
Karina Roth,0,0,0,0,0,0,0,0,1,0,1,1
Stacy Mason,1,0,0,0,1,0,0,0,0,1,1,1
Shannon Choi,0,0,0,1,0,0,0,0,0,1,1,1
Tammy Henderson,0,0,1,0,1,1,0,1,0,0,1,1
Sarah Roberson,0,0,0,1,0,0,0,0,0,0,0,1
Benjamin Foster,0,0,0,0,1,0,0,0,0,1,0,0
Kyle Harris,0,0,0,1,0,0,0,0,0,1,0,0
Mary Garcia,0,0,0,1,1,0,0,0,0,1,1,1
Robert Brown,0,0,0,1,1,0,0,0,0,0,0,0
Diana Ferguson,0,0,0,1,1,0,0,1,0,0,0,0
Derek Malone,0,0,0,0,0,0,0,0,0,0,0,1
Rita Vega,0,0,0,1,1,0,0,0,0,0,1,0
Patricia Castaneda,0,1,0,1,0,0,0,0,0,1,0,0
William Oliver,0,0,0,1,0,0,0,0,0,0,0,0
Marilyn Williams,0,0,0,1,1,0,0,0,0,1,0,1
Jacqueline Garcia,0,0,0,0,0,0,0,0,0,0,1,0
Bonnie Carrillo,0,0,0,1,1,0,0,1,0,0,1,1
Michelle Kelly,0,0,0,0,0,0,0,0,0,0,1,1
Joseph Ryan,0,0,0,1,1,0,0,0,0,1,0,1
Angelica Gonzalez DDS,0,0,0,0,0,0,0,0,0,0,0,0
James Neal,0,0,0,0,0,1,0,0,0,1,1,0
Brett Brown,0,0,0,1,0,0,0,0,1,0,0,1
Tara Espinoza,0,0,0,0,0,0,0,0,0,1,0,0
Brittney Mccall,0,0,0,1,0,0,0,0,0,1,0,0
Michelle Washington,0,0,0,1,1,1,0,0,0,1,1,1
Brenda Bennett,0,1,0,1,1,0,0,1,0,0,0,0
Chad Turner,0,0,0,0,0,0,0,0,0,1,0,1
Shane Jackson,0,0,0,1,1,0,0,0,1,0,1,0
Daniel Ramsey,1,0,0,0,1,0,0,1,0,0,0,1
Alicia Cox,0,0,0,1,1,0,0,0,0,1,0,0
Jeffrey Rodriguez,0,0,0,1,0,1,0,1,0,1,0,0
Scott Lynch,0,0,0,0,0,0,0,0,0,1,0,1
Jordan Mcbride,0,0,0,1,0,1,0,0,0,0,0,1
Alicia Williams,0,0,0,1,1,0,0,0,0,0,0,0
Crystal Dean,1,0,0,1,0,1,0,0,0,0,1,1
Stephanie Sanchez,0,0,0,1,0,1,0,1,0,1,0,1
Dennis Butler,0,1,0,0,0,0,0,0,0,1,1,1
Kelly Smith,0,0,0,0,1,0,0,0,0,0,0,0
Matthew Blevins,0,0,0,0,0,0,0,1,0,0,1,1
Gabriela Rose,0,0,0,0,1,0,0,0,0,1,1,0
Seth Jones,0,0,0,1,1,0,0,0,1,1,1,1
Janice Lam,0,0,0,0,1,0,1,1,1,0,0,1
