name,ethnicity,interests,mbti,communication_type,political_interests,religion,major,year,language,likes_pets,likes_outdoor_activities,enjoys_watching_movies
John Hanna,0,0,0,1,1,0,0,0,0,0,1,0
Donald Drake,0,0,0,0,0,0,0,1,0,0,1,0
Roy Williams,0,0,0,1,1,0,1,0,0,1,0,1
Emily Landry,0,0,0,1,0,0,0,1,0,1,1,0
Elizabeth Hess,0,1,0,1,1,0,0,1,0,0,0,1
Felicia Anderson,0,0,0,1,1,0,0,1,0,0,1,1
Daniel Moran,1,0,0,0,1,1,0,0,0,0,0,0
Amy Rich,0,0,0,1,0,0,0,0,0,0,1,1
Tara Ellis,0,0,0,0,0,0,0,0,1,0,0,1
Mary Solis,0,0,0,1,1,0,0,0,0,0,1,0
Chad Johnson,0,0,0,1,0,0,0,1,0,1,1,1
Michael Hoffman,0,0,0,1,1,0,1,0,0,1,0,1
Darren Pratt,1,0,0,0,0,0,0,0,0,1,0,1
Bobby Carter,0,0,1,0,1,0,0,0,0,1,1,0
Brittany Rhodes,1,0,0,0,1,0,0,0,0,1,1,0
Adam Edwards,0,0,0,0,1,0,0,0,0,0,0,0
Sarah Flowers,1,0,0,0,0,0,0,0,1,0,1,0
Allen Arellano,0,0,0,1,1,0,0,0,0,0,0,1
Randy Marsh,0,0,0,1,1,0,0,1,1,1,1,0
Robert Burke III,0,0,0,1,1,0,0,0,0,1,0,1
Tiffany Heath,0,0,0,1,0,0,0,0,0,1,1,0
Corey Walker,0,0,0,0,0,0,1,0,0,0,0,0
Phyllis Elliott,0,0,0,1,0,0,0,1,0,1,1,0
Cameron Leonard,1,0,0,0,0,0,0,0,0,1,0,0
Cheryl Holmes,0,0,0,0,1,0,0,0,1,0,0,1
Timothy Johnson,0,0,0,0,1,0,0,0,1,0,1,1
Charlotte Wong,1,0,1,0,0,0,1,1,1,0,0,1
